enduse,SID,LID,CID,UID,BID,PBID,anew,aret,new,ret,st
heating,2,15,1,1,1,0,4.143701935,11.66666667,187.0725407,138.1656441,197.3794916
heating,3,15,1,1,1,0,4.143701935,11.66666667,243.1943029,138.1656441,197.3794916
heating,4,15,1,1,1,0,4.143701935,11.66666667,187.0725407,138.1656441,197.3794916
heating,5,15,1,1,1,0,4.143701935,11.66666667,187.0725407,138.1656441,197.3794916
heating,2,15,1,1,2,1,4.143701935,11.66666667,94.08250233,84.69123466,120.9874781
heating,3,15,1,1,2,1,4.143701935,11.66666667,122.307253,84.69123466,120.9874781
heating,4,15,1,1,2,1,4.143701935,11.66666667,94.08250233,84.69123466,120.9874781
heating,5,15,1,1,2,1,4.143701935,11.66666667,94.08250233,84.69123466,120.9874781
heating,2,15,1,1,2,2,4.143701935,11.66666667,104.5361137,94.10137184,134.4305312
heating,3,15,1,1,2,2,4.143701935,11.66666667,135.8969478,94.10137184,134.4305312
heating,4,15,1,1,2,2,4.143701935,11.66666667,104.5361137,94.10137184,134.4305312
heating,5,15,1,1,2,2,4.143701935,11.66666667,104.5361137,94.10137184,134.4305312
heating,2,15,1,1,2,3,5.386812516,15.16666667,135.8969478,122.3317834,174.7596906
heating,3,15,1,1,2,3,5.386812516,15.16666667,176.6660322,122.3317834,174.7596906
heating,4,15,1,1,2,3,5.386812516,15.16666667,135.8969478,122.3317834,174.7596906
heating,5,15,1,1,2,3,5.386812516,15.16666667,135.8969478,122.3317834,174.7596906
heating,2,15,1,1,2,4,4.143701935,11.66666667,62.72166822,56.4608231,80.65831872
heating,3,15,1,1,2,4,4.143701935,11.66666667,81.53816869,56.4608231,80.65831872
heating,4,15,1,1,2,4,4.143701935,11.66666667,62.72166822,56.4608231,80.65831872
heating,5,15,1,1,2,4,4.143701935,11.66666667,62.72166822,56.4608231,80.65831872
heating,2,15,1,1,2,5,4.143701935,11.66666667,73.17527959,65.87096029,94.10137184
heating,3,15,1,1,2,5,4.143701935,11.66666667,95.12786347,65.87096029,94.10137184
heating,4,15,1,1,2,5,4.143701935,11.66666667,73.17527959,65.87096029,94.10137184
heating,5,15,1,1,2,5,4.143701935,11.66666667,73.17527959,65.87096029,94.10137184
heating,2,15,1,1,2,6,4.143701935,11.66666667,73.17527959,65.87096029,94.10137184
