LID,FCID,BIO1,lig1,gas1,coal1,elec1,dheat1,hyd1,BIO2,lig2,gas2,coal2,elec2,dheat2,hyd2,BIO3,lig3,gas3,coal3,elec3,dheat3,hyd3
15,1,0.249303621,0.194986072,0.236768802,0.020891365,0.236768802,6.13E-02,0,0,0,0.892377817,0,0.107622183,0,0,0,0,0.81,0,0.19,0,0
16,1,4.10E-03,0.345641026,0.362051282,2.05E-03,0.286153846,0,0,0,0,0.86993007,0,0.13006993,0,0,0,0,0.81,0,0.19,0,0
17,1,0.13986014,0,0.013986014,0.027972028,0.545454545,0.272727273,0,0,0,0.752066116,0,0.247933884,0,0,0,0,0.81,0,0.19,0,0
18,1,0.693877551,0.163265306,0,0,0.142857143,0,0,0,0,0.935064935,0,0.064935065,0,0,0,0,0.81,0,0.19,0,0
19,1,2.00E-02,0,0.214922049,2.00E-02,0.301781737,0.443207127,0,0,0,0.862826483,0,0.137173517,0,0,0,0,0.81,0,0.19,0,0
20,1,2.80E-02,0.198178605,0.44664945,9.38E-03,0.271034389,4.68E-02,0,0,0,0.87680255,0,0.12319745,0,0,0,0,0.81,0,0.19,0,0
21,1,0.13986014,0,0.013986014,0.027972028,0.545454545,0.272727273,0,0,0,0.752066116,0,0.247933884,0,0,0,0,0.81,0,0.19,0,0
22,1,9.51E-03,0.589621622,0.277837838,1.08E-03,0.121945946,0,0,0,0,0.944570025,0,5.54E-02,0,0,0,0,0.81,0,0.19,0,0
23,1,0.225806452,0.010752688,4.84E-02,0.021505376,0.177419355,0.516129032,0,0,0,0.919354839,0,8.06E-02,0,0,0,0,0.81,0,0.19,0,0
24,1,0.25540275,0.180746562,7.86E-03,3.93E-03,0.174852652,0.377210216,0,0,0,0.920521522,0,7.95E-02,0,0,0,0,0.81,0,0.19,0,0
25,1,1.40E-02,0.214102862,0.36560391,1.16E-02,0.378403537,0.016290435,0,0,0,0.827998392,0,0.172001608,0,0,0,0,0.81,0,0.19,0,0
26,1,0,6.59E-02,0.763059959,1.25E-02,0.158511371,0,0,0,0,0.927949377,0,7.21E-02,0,0,0,0,0.81,0,0.19,0,0
27,1,0.377419355,0.261290323,6.45E-03,0,0.35483871,0,0,0,0,0.838709677,0,0.161290323,0,0,0,0,0.81,0,0.19,0,0
28,1,1.62E-02,0,0.652991453,1.54E-02,0.198290598,0.117094017,0,0,0,0.90986791,0,9.01E-02,0,0,0,0,0.81,0,0.19,0,0
29,1,0,0.374,0.252,0.08,0.294,0,0,0,0,0.866363636,0,0.133636364,0,0,0,0,0.81,0,0.19,0,0
30,1,0,0.163989541,0.553978334,1.12E-03,0.280911468,0,0,0,0,0.872312969,0,0.127687031,0,0,0,0,0.81,0,0.19,0,0
31,1,0,0.163989541,0.553978334,1.12E-03,0.280911468,0,0,0,0,0.872312969,0,0.127687031,0,0,0,0,0.81,0,0.19,0,0
32,1,0.13986014,0,0.013986014,0.027972028,0.545454545,0.272727273,0,0,0,0.752066116,0,0.247933884,0,0,0,0,0.81,0,0.19,0,0
33,1,0.34439834,8.30E-03,0.045643154,8.30E-03,9.96E-02,0.493775934,0,0,0,0.954734063,0,4.53E-02,0,0,0,0,0.81,0,0.19,0,0
34,1,9.09E-02,0,0,0,0.909090909,0,0,0,0,0.58677686,0,0.41322314,0,0,0,0,0.81,0,0.19,0,0
35,1,0,0,0.876129032,0,0.123870968,0,0,0,0,0.943695015,0,5.63E-02,0,0,0,0,0.81,0,0.19,0,0
36,1,0.13986014,0,0.013986014,0.027972028,0.545454545,0.272727273,0,0,0,0.752066116,0,0.247933884,0,0,0,0,0.81,0,0.19,0,0
37,1,0.257790368,0.432011331,0.175637394,0,0.134560907,0,0,0,0,0.938835952,0,6.12E-02,0,0,0,0,0.81,0,0.19,0,0
38,1,0.222119816,8.57E-02,0.294930876,9.22E-03,1.01E-02,0.377880184,0,0,0,0.995391705,0,4.61E-03,0,0,0,0,0.81,0,0.19,0,0
39,1,1.60E-02,4.01E-03,0.55511022,1.80E-02,4.01E-02,0.366733467,0,0,0,0.981781745,0,1.82E-02,0,0,0,0,0.81,0,0.19,0,0
40,1,0.235602094,0.230366492,0.120418848,0,0.303664921,0.109947644,0,0,0,0.86197049,0,0.13802951,0,0,0,0,0.81,0,0.19,0,0
41,1,0.133419689,8.94E-02,1.30E-02,0,0.208549223,0.555699482,0,0,0,0.905204899,0,9.48E-02,0,0,0,0,0.81,0,0.19,0,0
42,1,0.235602094,0.230366492,0.120418848,0,0.303664921,0.109947644,0,0,0,0.86197049,0,0.13802951,0,0,0,0,0.81,0,0.19,0,0
