LID,FullName,whR,whC,ret,adv,con,st
15,Austria,3.36E+16,1.26E+16,1.027399608,2.280649038,1,0.82879419
16,Belgium,5.31E+16,1.68E+16,1.114323329,2.12428264,1,0.763979487
17,Bulgaria,1.92E+16,5.66E+15,1.295213668,2.345411858,1,0.831888112
18,Cyprus,2.91E+15,9.38E+14,3.054435431,4.049295775,1,1.790233754
19,Czech Republic,3.71E+16,1.13E+16,1.016078062,2.12428264,1,0.812875
20,Germany,3.15E+17,1.42E+17,1.135126438,2.12428264,1,0.815512945
21,Denmark,2.66E+16,6.99E+15,1.114323329,2.12428264,1,0.76
22,Spain,1.41E+17,5.13E+16,0.981632279,2.547253396,1,0.694659459
23,Estonia,5.34E+15,1.40E+15,0.956545936,1.990970842,1,0.771397849
24,Finland,3.25E+16,9.33E+15,0.96841348,1.877519063,1,0.729021277
25,France,2.57E+17,9.40E+16,1.19091536,2.280649038,1,0.79739353
26,United Kingdom,2.84E+17,8.22E+16,1.000667914,2.12428264,1,0.800321242
27,Greece,3.05E+16,1.24E+16,2.206461398,2.547253396,1,0.896314377
28,Hungary,3.36E+16,1.02E+16,1.027399608,2.280649038,1,0.817470085
29,Ireland,2.32E+16,6.28E+15,1.210921024,1.990970842,1,0.8
30,Italy,2.29E+17,7.27E+16,1.108316909,2.345411858,1,0.800687337
31,Lithuania,9.09E+15,2.38E+15,0.873554967,1.990970842,1,0.771751412
32,Luxembourg,1.88E+15,1.50E+15,1.1,2.12428264,1,0.8
33,Latvia,7.72E+15,2.29E+15,0.873554967,1.990970842,1,0.771751412
34,Malta,7.54E+14,4.67E+14,1.885475285,4.049295775,1,0.890909091
35,Netherlands,8.02E+16,3.16E+16,0.995976562,2.12428264,1,0.814864516
36,Poland,1.32E+17,3.19E+16,1,2.12428264,1,0.8
37,Portugal,2.46E+16,8.47E+15,0.999415403,2.547253396,1,0.677733711
38,Romania,4.60E+16,9.88E+15,0.869524316,2.280649038,1,0.737806452
39,Slovakia,1.72E+16,5.92E+15,0.894210874,2.12428264,1,0.797835671
40,Slovenia,1.04E+16,1.91E+15,1.119188558,2.280649038,1,0.743246073
41,Sweden,5.44E+16,1.56E+16,0.963567355,1.877519063,1,0.780466321
42,Croatia,1.54E+16,3.68E+15,1.119188558,2.280649038,1,0.743246073
