LID,Year,Val
15,2020,0.410083833
15,2021,0.419487014
15,2022,0.428890195
15,2023,0.438293376
15,2024,0.447696557
15,2025,0.457099737
15,2026,0.462840581
15,2027,0.468581424
15,2028,0.474322268
15,2029,0.480063111
15,2030,0.485803954
15,2031,0.492166448
15,2032,0.498528942
15,2033,0.504891435
15,2034,0.511253929
15,2035,0.517616423
15,2036,0.525582837
15,2037,0.533549252
15,2038,0.541515666
15,2039,0.549482081
15,2040,0.557448496
15,2041,0.565552915
15,2042,0.573657335
15,2043,0.581761754
15,2044,0.589866173
15,2045,0.597970593
15,2046,0.606120401
15,2047,0.614270209
15,2048,0.622420017
15,2049,0.630569826
15,2050,0.638719634
15,2051,0.64679517
15,2052,0.654922283
15,2053,0.663049397
15,2054,0.671176511
15,2055,0.679303625
15,2056,0.687430739
15,2057,0.695557852
15,2058,0.703684966
15,2059,0.71181208
15,2060,0.719939194
16,2020,0.476101497
16,2021,0.488572144
16,2022,0.501042791
16,2023,0.513513439
16,2024,0.525984086
16,2025,0.538454733
16,2026,0.542965438
16,2027,0.547476142
16,2028,0.551986847
16,2029,0.556497552
16,2030,0.561008257
16,2031,0.566552647
16,2032,0.572097036
16,2033,0.577641426
16,2034,0.583185816
16,2035,0.588730206
16,2036,0.596595758
16,2037,0.60446131
16,2038,0.612326863
16,2039,0.620192415
16,2040,0.628057967
16,2041,0.636517996
16,2042,0.644978024
16,2043,0.653438053
16,2044,0.661898081
16,2045,0.67035811
16,2046,0.679285799
16,2047,0.688213489
16,2048,0.697141178
16,2049,0.706068868
16,2050,0.714996557
16,2051,0.723158983
16,2052,0.731852842
16,2053,0.740546701
16,2054,0.74924056
16,2055,0.757934419
16,2056,0.766628278
16,2057,0.775322137
16,2058,0.784015996
16,2059,0.792709855
16,2060,0.801403714
17,2020,0.056347004
17,2021,0.057755174
17,2022,0.059163343
17,2023,0.060571513
17,2024,0.061979683
17,2025,0.063387853
17,2026,0.064207997
17,2027,0.065028142
17,2028,0.065848286
17,2029,0.066668431
17,2030,0.067488576
17,2031,0.068339195
17,2032,0.069189814
17,2033,0.070040433
17,2034,0.070891052
17,2035,0.071741671
17,2036,0.072660125
17,2037,0.073578578
17,2038,0.074497032
17,2039,0.075415485
17,2040,0.076333939
17,2041,0.07722302
17,2042,0.078112101
17,2043,0.079001183
17,2044,0.079890264
17,2045,0.080779345
17,2046,0.081603872
17,2047,0.082428399
17,2048,0.083252927
17,2049,0.084077454
17,2050,0.084901981
17,2051,0.085832142
17,2052,0.086688946
17,2053,0.087545751
17,2054,0.088402555
17,2055,0.089259359
17,2056,0.090116163
17,2057,0.090972968
17,2058,0.091829772
17,2059,0.092686576
17,2060,0.09354338
18,2020,0.022807579
18,2021,0.0233871
18,2022,0.023966621
18,2023,0.024546142
18,2024,0.025125662
18,2025,0.025705183
18,2026,0.026166978
18,2027,0.026628773
18,2028,0.027090569
18,2029,0.027552364
18,2030,0.028014159
18,2031,0.028558212
18,2032,0.029102265
18,2033,0.029646318
18,2034,0.03019037
18,2035,0.030734423
18,2036,0.031494074
18,2037,0.032253725
18,2038,0.033013376
18,2039,0.033773027
18,2040,0.034532678
18,2041,0.035390143
18,2042,0.036247607
18,2043,0.037105072
18,2044,0.037962537
18,2045,0.038820001
18,2046,0.039720522
18,2047,0.040621043
18,2048,0.041521564
18,2049,0.042422085
18,2050,0.043322606
18,2051,0.044152671
18,2052,0.045031664
18,2053,0.045910657
18,2054,0.046789649
18,2055,0.047668642
18,2056,0.048547635
18,2057,0.049426628
18,2058,0.050305621
18,2059,0.051184613
18,2060,0.052063606
19,2020,0.206619122
19,2021,0.213649628
19,2022,0.220680135
19,2023,0.227710641
19,2024,0.234741147
19,2025,0.241771653
19,2026,0.246732828
19,2027,0.251694004
19,2028,0.256655179
19,2029,0.261616354
19,2030,0.266577529
19,2031,0.271500381
19,2032,0.276423233
19,2033,0.281346085
19,2034,0.286268937
19,2035,0.291191789
19,2036,0.295429149
19,2037,0.299666508
19,2038,0.303903868
19,2039,0.308141227
19,2040,0.312378587
19,2041,0.316740914
19,2042,0.32110324
19,2043,0.325465567
19,2044,0.329827894
19,2045,0.334190221
19,2046,0.338788926
19,2047,0.343387631
19,2048,0.347986337
19,2049,0.352585042
19,2050,0.357183747
19,2051,0.361395652
19,2052,0.365876168
19,2053,0.370356684
19,2054,0.3748372
19,2055,0.379317716
19,2056,0.383798232
19,2057,0.388278748
19,2058,0.392759264
19,2059,0.39723978
19,2060,0.401720296
20,2020,3.507565032
20,2021,3.594010323
20,2022,3.680455615
20,2023,3.766900907
20,2024,3.853346198
20,2025,3.93979149
20,2026,3.967414297
20,2027,3.995037104
20,2028,4.022659911
20,2029,4.050282719
20,2030,4.077905526
20,2031,4.11649436
20,2032,4.155083193
20,2033,4.193672027
20,2034,4.23226086
20,2035,4.270849694
20,2036,4.328183277
20,2037,4.385516861
20,2038,4.442850444
20,2039,4.500184027
20,2040,4.557517611
20,2041,4.624638958
20,2042,4.691760304
