LID,Year,Val
15,2020,8.904262
15,2021,8.9292112
15,2022,8.9541604
15,2023,8.9791096
15,2024,9.0040588
15,2025,9.029008
15,2026,9.0530066
15,2027,9.0770052
15,2028,9.1010038
15,2029,9.1250024
15,2030,9.149001
15,2031,9.1657424
15,2032,9.1824838
15,2033,9.1992252
15,2034,9.2159666
15,2035,9.232708
15,2036,9.244639
15,2037,9.25657
15,2038,9.268501
15,2039,9.280432
15,2040,9.292363
15,2041,9.3004584
15,2042,9.3085538
15,2043,9.3166492
15,2044,9.3247446
15,2045,9.33284
15,2046,9.3354378
15,2047,9.3380356
15,2048,9.3406334
15,2049,9.3432312
15,2050,9.345829
15,2051,9.357422873
15,2052,9.362769473
15,2053,9.368116073
15,2054,9.373462673
15,2055,9.378809273
15,2056,9.384155873
15,2057,9.389502473
15,2058,9.394849073
15,2059,9.400195673
15,2060,9.405542273
16,2020,11.507338
16,2021,11.5381116
16,2022,11.5688852
16,2023,11.5996588
16,2024,11.6304324
16,2025,11.661206
16,2026,11.6805628
16,2027,11.6999196
16,2028,11.7192764
16,2029,11.7386332
16,2030,11.75799
16,2031,11.773556
16,2032,11.789122
16,2033,11.804688
16,2034,11.820254
16,2035,11.83582
16,2036,11.8476322
16,2037,11.8594444
16,2038,11.8712566
16,2039,11.8830688
16,2040,11.894881
16,2041,11.9013696
16,2042,11.9078582
16,2043,11.9143468
16,2044,11.9208354
16,2045,11.927324
16,2046,11.9272566
16,2047,11.9271892
16,2048,11.9271218
16,2049,11.9270544
16,2050,11.926987
16,2051,11.9376476
16,2052,11.9408582
16,2053,11.9440688
16,2054,11.9472794
16,2055,11.95049
16,2056,11.9537006
16,2057,11.9569112
16,2058,11.9601218
16,2059,11.9633324
16,2060,11.966543
17,2020,6.949549
17,2021,6.8977168
17,2022,6.8458846
17,2023,6.7940524
17,2024,6.7422202
17,2025,6.690388
17,2026,6.6423696
17,2027,6.5943512
17,2028,6.5463328
17,2029,6.4983144
17,2030,6.450296
17,2031,6.4050466
17,2032,6.3597972
17,2033,6.3145478
17,2034,6.2692984
17,2035,6.224049
17,2036,6.182583
17,2037,6.141117
17,2038,6.099651
17,2039,6.058185
17,2040,6.016719
17,2041,5.9790602
17,2042,5.9414014
17,2043,5.9037426
17,2044,5.8660838
17,2045,5.828425
17,2046,5.7937452
17,2047,5.7590654
17,2048,5.7243856
17,2049,5.6897058
17,2050,5.655026
17,2051,5.615471473
17,2052,5.579302173
17,2053,5.543132873
17,2054,5.506963573
17,2055,5.470794273
17,2056,5.434624973
17,2057,5.398455673
17,2058,5.362286373
17,2059,5.326117073
17,2060,5.289947773
18,2020,0.887331
18,2021,0.8955238
18,2022,0.9037166
18,2023,0.9119094
18,2024,0.9201022
18,2025,0.928295
18,2026,0.9352068
18,2027,0.9421186
18,2028,0.9490304
18,2029,0.9559422
18,2030,0.962854
18,2031,0.968446
18,2032,0.974038
18,2033,0.97963
18,2034,0.985222
18,2035,0.990814
18,2036,0.9952228
18,2037,0.9996316
18,2038,1.0040404
18,2039,1.0084492
18,2040,1.012858
18,2041,1.0164478
18,2042,1.0200376
18,2043,1.0236274
18,2044,1.0272172
18,2045,1.030807
18,2046,1.0338894
18,2047,1.0369718
18,2048,1.0400542
18,2049,1.0431366
18,2050,1.046219
18,2051,1.050131691
18,2052,1.053467791
18,2053,1.056803891
18,2054,1.060139991
18,2055,1.063476091
18,2056,1.066812191
18,2057,1.070148291
18,2058,1.073484391
18,2059,1.076820491
18,2060,1.080156591
19,2020,10.693861
19,2021,10.71305
19,2022,10.732239
19,2023,10.751428
19,2024,10.770617
19,2025,10.789806
19,2026,10.7842796
19,2027,10.7787532
19,2028,10.7732268
19,2029,10.7677004
19,2030,10.762174
19,2031,10.7486264
19,2032,10.7350788
19,2033,10.7215312
19,2034,10.7079836
19,2035,10.694436
19,2036,10.6806292
19,2037,10.6668224
19,2038,10.6530156
19,2039,10.6392088
19,2040,10.625402
19,2041,10.6145924
19,2042,10.6037828
19,2043,10.5929732
19,2044,10.5821636
19,2045,10.571354
19,2046,10.5631334
19,2047,10.5549128
19,2048,10.5466922
19,2049,10.5384716
19,2050,10.530251
19,2051,10.51779385
19,2052,10.50827875
19,2053,10.49876365
19,2054,10.48924855
19,2055,10.47973345
19,2056,10.47021835
19,2057,10.46070325
19,2058,10.45118815
19,2059,10.44167305
19,2060,10.43215795
20,2020,83.135181
20,2021,83.2046062
20,2022,83.2740314
20,2023,83.3434566
20,2024,83.4128818
20,2025,83.482307
20,2026,83.476585
20,2027,83.470863
20,2028,83.465141
20,2029,83.459419
20,2030,83.453697
20,2031,83.4266916
20,2032,83.3996862
20,2033,83.3726808
20,2034,83.3456754
20,2035,83.31867
20,2036,83.2906212
20,2037,83.2625724
20,2038,83.2345236
20,2039,83.2064748
20,2040,83.178426
20,2041,83.1394252
20,2042,83.1004244
20,2043,83.0614236
